COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,NUMBER_VACCINES_TYPES_USED
Denmark,DNK,EURO,REPORTING,12/12/2021,10616008,4932438,182.3,84.71,4725566,81.959,4
Lithuania,LTU,EURO,REPORTING,12/12/2021,3857998,1889640,138.1,67.787,1541720,64.469,4
Germany,DEU,EURO,REPORTING,12/12/2021,134709195,60414339,162,72.642,54356796,69.608,4
Ukraine,UKR,EURO,REPORTING,12/12/2021,26567167,14169692,60.7,32.4,12397475,28.349,6
Albania,ALB,EURO,REPORTING,12/12/2021,2109234,1084976,73.3,38.123,957532,33.645,5
Bosnia and Herzegovina,BIH,EURO,REPORTING,11/4/2021,1553874,833233,47.4,25.397,720631,21.965,4
Iceland,ISL,EURO,REPORTING,12/12/2021,693023,285202,190.3,78.323,226815,77.151,4
Czechia,CZE,EURO,REPORTING,12/12/2021,14389245,6737623,134.6,63.004,6087906,60.659,4
Latvia,LVA,EURO,REPORTING,12/12/2021,2306239,1240483,120.9,65.026,924348,61.859,4
San Marino,SMR,EURO,REPORTING,12/12/2021,52043,24282,153.3,70.479,21623,62.761,2
Turkey,TUR,EURO,OWID,12/7/2021,120910438,56371961,143.4,67.791,51375142,60.915,2
North Macedonia,MKD,EURO,REPORTING,12/12/2021,1724797,836816,82.8,40.304,804518,38.749,6
Monaco,MCO,EURO,REPORTING,9/16/2021,49980,26672,127.4,67.965,23308,59.393,1
Republic of Moldova,MDA,EURO,REPORTING,12/12/2021,1682690,1001780,41.7,24.834,655581,23.717,7
Andorra,AND,EURO,REPORTING,12/12/2021,115709,56628,149.8,74.337,50551,66.36,3
Slovakia,SVK,EURO,REPORTING,12/12/2021,5700015,2698773,104.4,49.447,2393664,46.799,5
Netherlands,NLD,EURO,REPORTING,12/12/2021,25750238,13293045,147.9,76.364,11287736,69.82,4
Austria,AUT,EURO,REPORTING,12/12/2021,15192098,6479447,170.7,72.794,5667188,67.499,4
Serbia,SRB,EURO,REPORTING,12/5/2021,6501132,3318069,93.9,47.903,3183063,45.953,5
Romania,ROU,EURO,REPORTING,12/12/2021,14589813,7888314,75.5,40.811,5786828,39.623,4
Cyprus,CYP,EURO,REPORTING,12/12/2021,1405464,632070,158.3,71.179,586504,68.533,4
Kyrgyzstan,KGZ,EURO,REPORTING,12/12/2021,2052376,1128002,31.5,17.29,924374,14.168,5
Greece,GRC,EURO,REPORTING,12/12/2021,15764615,7256685,147.1,67.702,6239819,63.287,4
Spain,ESP,EURO,REPORTING,12/12/2021,77162593,38526978,163,81.396,33226927,74.378,4
The United Kingdom,GBR,EURO,REPORTING,12/13/2021,121616098,51279167,179.1,75.344,46656013,68.727,3
Turkmenistan,TKM,EURO,REPORTING,8/29/2021,7580976,4374694,125.7,72.535,3206282,53.162,4
Russian Federation,RUS,EURO,OWID,12/7/2021,130634456,68029825,89.5,46.617,58694839,40.22,2
Armenia,ARM,EURO,REPORTING,12/5/2021,1372347,854321,46.3,28.831,518026,17.482,5
Sweden,SWE,EURO,REPORTING,12/12/2021,16251164,7364897,157.4,71.313,7096342,68.712,3
Tajikistan,TJK,EURO,REPORTING,12/12/2021,5950710,3291049,62.4,34.506,2659661,27.886,6
Luxembourg,LUX,EURO,REPORTING,12/12/2021,946406,442976,151.2,70.751,385529,68.029,4
Norway,NOR,EURO,REPORTING,12/12/2021,9120762,4257573,169.9,79.32,3877271,72.347,4
Israel,ISR,EURO,REPORTING,12/12/2021,13528822,6474170,156.3,74.798,5861932,67.725,3
Bulgaria,BGR,EURO,REPORTING,12/12/2021,3498168,1927831,50.3,27.733,1400250,26.488,4
Montenegro,MNE,EURO,REPORTING,12/5/2021,503351,268075,80.1,43.108,235276,37.833,4
